Dataset,Method,Quality,Image,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Kodak,JPEG,20,kodim16.png,0.4270833333333333,30.41953164012558,0.93990558385849,0.4341357350349426,56.19512195121951,1152.0,20.5
Kodak,JPEG,30,kodim16.png,0.55859375,31.692690304055017,0.9594287872314453,0.3452054262161255,42.96503496503497,1152.0,26.8125
Kodak,JPEG,40,kodim16.png,0.6708984375,32.61310341652111,0.9701149463653564,0.2899096608161926,35.77292576419214,1152.0,32.203125
Kodak,JPEG,50,kodim16.png,0.7748006184895834,33.418732773509646,0.9766788482666016,0.25221896171569824,30.97571094714177,1152.0,37.1904296875
Kodak,JPEG,60,kodim16.png,0.8851521809895834,34.124576532543664,0.980200469493866,0.22247913479804993,27.11398165812398,1152.0,42.4873046875
Kodak,JPEG,70,kodim16.png,1.0558675130208333,35.15122155946731,0.9848942756652832,0.1890113353729248,22.730124474931596,1152.0,50.681640625
Kodak,JPEG,80,kodim16.png,1.3357747395833333,36.599324787433616,0.9893442988395691,0.1461610049009323,17.967101255026197,1152.0,64.1171875
Kodak,JPEG,90,kodim16.png,2.0133463541666665,39.33463322729376,0.9937919974327087,0.09325473010540009,11.920452708164914,1152.0,96.640625
Kodak,JPEG,10,kodim17.png,0.2884318033854167,27.981369696953724,0.9103578925132751,0.5575813055038452,83.2085772730479,1152.0,13.8447265625
Kodak,JPEG,20,kodim17.png,0.4367268880208333,30.576088977664337,0.954492449760437,0.4097861647605896,54.95425323767819,1152.0,20.962890625
Kodak,JPEG,30,kodim17.png,0.5630289713541666,31.943002925038925,0.9718618392944336,0.3336104154586792,42.62658090626581,1152.0,27.025390625
Kodak,JPEG,40,kodim17.png,0.6673787434895834,32.878812668959384,0.9784376621246338,0.2856876850128174,35.96158887906594,1152.0,32.0341796875
Kodak,JPEG,50,kodim17.png,0.7668863932291666,33.64477369767212,0.9824175238609314,0.2458321750164032,31.295378574839496,1152.0,36.810546875
Kodak,JPEG,60,kodim17.png,0.8769734700520834,34.34610428325864,0.985142171382904,0.22200831770896912,27.366848393457836,1152.0,42.0947265625
Kodak,JPEG,70,kodim17.png,1.0494181315104167,35.316034930302536,0.9882909655570984,0.18710871040821075,22.869816405265503,1152.0,50.3720703125
Kodak,JPEG,80,kodim17.png,1.334228515625,36.679472641721176,0.9912840127944946,0.14489203691482544,17.987923147301007,1152.0,64.04296875
Kodak,JPEG,90,kodim17.png,2.0196126302083335,39.09384241163315,0.9944915175437927,0.0886894017457962,11.883466978281017,1152.0,96.94140625
Kodak,JPEG,10,kodim18.png,0.3758544921875,25.16506936967163,0.8851825594902039,0.5034430027008057,63.854498213705746,1152.0,18.041015625
Kodak,JPEG,20,kodim18.png,0.6061197916666666,27.293794527830507,0.9378129243850708,0.35379737615585327,39.59613319011815,1152.0,29.09375
Kodak,JPEG,30,kodim18.png,0.79656982421875,28.532288100474332,0.9562081694602966,0.28019779920578003,30.129185503026587,1152.0,38.2353515625
Kodak,JPEG,40,kodim18.png,0.9568277994791666,29.426472020934856,0.9650192260742188,0.23858383297920227,25.082883266000426,1152.0,45.927734375
Kodak,JPEG,50,kodim18.png,1.1052652994791667,30.196713246168848,0.9715346097946167,0.21138349175453186,21.714243640245922,1152.0,53.052734375
Kodak,JPEG,60,kodim18.png,1.2708943684895833,30.946107154973102,0.9758643507957458,0.18493306636810303,18.884338930955543,1152.0,61.0029296875
Kodak,JPEG,70,kodim18.png,1.5263875325520833,31.97175397963936,0.9808793067932129,0.15538418292999268,15.723398867044319,1152.0,73.2666015625
Kodak,JPEG,80,kodim18.png,1.9435831705729167,33.49025550158386,0.9861065745353699,0.11690814793109894,12.348326721169045,1152.0,93.2919921875
Kodak,JPEG,90,kodim18.png,2.87548828125,36.175903594738955,0.9915390014648438,0.0682859867811203,8.346408558329088,1152.0,138.0234375
Kodak,JPEG,10,kodim19.png,0.3098551432291667,26.858332441179154,0.8832456469535828,0.5486661195755005,77.45554826001313,1152.0,14.873046875
Kodak,JPEG,20,kodim19.png,0.4830322265625,29.328926527494474,0.9412435293197632,0.42236968874931335,49.68612585291888,1152.0,23.185546875
Kodak,JPEG,30,kodim19.png,0.62890625,30.63996794159017,0.960124671459198,0.3453402817249298,38.161490683229815,1152.0,30.1875
Kodak,JPEG,40,kodim19.png,0.7490437825520834,31.56136055321273,0.9693034887313843,0.29569607973098755,32.04085069397289,1152.0,35.9541015625
Kodak,JPEG,50,kodim19.png,0.8658243815104166,32.32784482086032,0.9753000140190125,0.26283136010169983,27.7192471273821,1152.0,41.5595703125
Kodak,JPEG,60,kodim19.png,0.9897054036458334,33.031912608073824,0.9789654016494751,0.23053359985351562,24.249640258191835,1152.0,47.505859375
Kodak,JPEG,70,kodim19.png,1.1851806640625,33.96961078220497,0.9834274649620056,0.19324105978012085,20.250077247914305,1152.0,56.888671875
Kodak,JPEG,80,kodim19.png,1.5199991861979167,35.37492841066338,0.9882626533508301,0.15099498629570007,15.789482137837801,1152.0,72.9599609375
Kodak,JPEG,90,kodim19.png,2.3126220703125,38.12818688122447,0.9930543303489685,0.0901021733880043,10.377830562153603,1152.0,111.005859375
Kodak,JPEG,10,kodim20.png,0.25787353515625,28.262265144993044,0.9232537746429443,0.4135439991950989,93.06887573964497,1152.0,12.3779296875
Kodak,JPEG,20,kodim20.png,0.3721110026041667,30.604333060230196,0.9591120481491089,0.32701897621154785,64.49688354291963,1152.0,17.861328125
Kodak,JPEG,30,kodim20.png,0.4681599934895833,31.867880994526164,0.9703340530395508,0.2754010558128357,51.264525661640086,1152.0,22.4716796875
Kodak,JPEG,40,kodim20.png,0.5465087890625,32.7353383277742,0.9761455059051514,0.24812406301498413,43.91512173330355,1152.0,26.232421875
Kodak,JPEG,50,kodim20.png,0.6208292643229166,33.44924481067372,0.9800306558609009,0.22490794956684113,38.657971489431425,1152.0,29.7998046875
